road_name,edge_id,length_meters,avg_deviation,max_deviation
Bridges Road_13,367125797->1956532188,87.06536562093835,24.433630646052173,45.59672072862878
Brunker Road_9,286119513->286119794,85.66790360229169,0,0
Wallarah Road_6,285923172->285923801,85.42476665461864,0,0
Monash Road_1,285923183->285923198,85.19599160751096,0,0
Unnamed Road_9,359020680->359020704,84.82327802679146,0,0
Fletcher Street_2,285732058->285732212,84.55594086185238,0,0
Northcott Drive_10,1840020256->8172070487,84.55509537406468,0,0
Tyrone Road_1,285922515->367128077,84.27751916521024,0,0
Turton Road_10,1843582760->1843582800,83.88821165712719,0,0
Rex Avenue_2,285923224->1839861553,83.24263165159854,0,0
Edden Street_1,285732092->285732244,83.23424614586776,0,0
Orchardtown Road_2,276839881->1840020292,82.8904252334734,0,0
Moonbi Street_2,1843667515->1843667521,82.84568169721878,0,0
Bridges Road_4,174778835->2608920684,82.7121607439996,15.00459368705797,19.46882094405724
Date Street_4,285732114->285732115,82.47291480745882,0,0
Railway Road_1,285922936->285923568,82.4579477899575,0,0
Noela Avenue_2,1843667298->1843667320,82.3438317990097,0,0
Taragna Road_2,1843667382->7013608464,82.28565191002264,0,0
Monash Road_3,285923198->285923212,82.04363773384165,0,0
Eighth Street_2,1840020284->1840020286,81.89799711037293,0,0
Lambton Road_6,285923655->739712119,81.59539156250607,0,0
Park Avenue_19,419517731->903719290,81.50300781457048,0,0
Fourth Street_4,285732228->285732229,81.34795539459472,0,0
Hobart Road_18,367128370->367128371,81.31299353780719,0,0
Hobart Road_19,367128376->4414732069,80.68527522949076,0,0
Marina Avenue_2,285923212->285923230,80.68171285146289,0,0
Freeman Street_1,276839788->1840020259,80.64082194435395,0,0
Third Street_1,285732244->1840020268,80.25453237534725,0,0
Gloucester Avenue_2,285923227->285923234,80.23015905606083,0,0
Unnamed Road_12,1839861560->6134998010,80.1621038795077,0,0
Young Road_4,285922353->285923339,79.86079782532684,0,0
Newton Street_2,1839861581->2120440767,78.99142544514376,0,0
Birdwood Street_2,276839788->276839790,77.74540625680203,0,0
Hawkins Street_3,1843667358->1843667380,77.45618219967123,0,0
Lambton Road_31,1839861577->2608920679,77.40589056237303,0,0
Lambton Road_33,1967667746->3743489799,77.32052116549619,0,0
Fletcher Street_5,285732113->1840020305,77.28119290986398,0,0
Teralba Road_5,286119840->769203720,76.84378075964604,0,0
Marina Avenue_3,285923216->285923230,76.76583630434227,0,0
Park Avenue_8,176399746->903719290,76.3607138892617,0,0
Marina Avenue_4,285923216->367128369,76.21304261711455,0,0
Hobart Road_7,285922956->1843667280,75.86372508071977,0,0
