segment_id,osm_id,node_u,node_v,name,road_type,length,has_geometry
315564685_285923795_1843667415,315564685,285923795,1843667415,Victoria Street,residential,81.96499999999999,True
"[822222313, 315564685]_285923795_3216916601","[822222313, 315564685]",285923795,3216916601,Victoria Street,residential,153.052,True
232951374_285923801_285923804,232951374,285923801,285923804,Lambton Road,primary,226.343,True
232951490_285923801_7013608454,232951490,285923801,7013608454,Wallarah Road,residential,8.072,True
232951374_285923801_7013608458,232951374,285923801,7013608458,Lambton Road,primary,202.91199999999998,True
212658680_285923802_285923803,212658680,285923802,285923803,Russell Road,residential,218.354,True
212658680_285923802_1843667409,212658680,285923802,1843667409,Russell Road,residential,184.49099999999999,True
232951490_285923802_7013608454,232951490,285923802,7013608454,Wallarah Road,residential,121.194,True
173577921_285923803_7013608455,173577921,285923803,7013608455,Greta Road,residential,130.327,True
1305693408_285923804_7013608455,1305693408,285923804,7013608455,Greta Road,residential,7.778,True
1301238057_285923804_1843667393,1301238057,285923804,1843667393,Greta Road,residential,70.41199999999999,True
"[1301238058, 185078567]_285923804_6134998010","[1301238058, 185078567]",285923804,6134998010,Lambton Road,primary,175.113,True
170216209_285923805_367128376,170216209,285923805,367128376,Hobart Road,residential,39.461,True
1301238057_285923805_1843667393,1301238057,285923805,1843667393,Greta Road,residential,51.54600000000001,True
315564684_285923813_7013608458,315564684,285923813,7013608458,Royal Place,secondary,10.054,True
315564684_285923813_1843667402,315564684,285923813,1843667402,Royal Place,secondary,83.27000000000001,True
"[750042865, 750047501]_285923813_7013608454","[750042865, 750047501]",285923813,7013608454,Lambton Road,primary,203.08800000000002,True
315564683_285923815_3216916601,315564683,285923815,3216916601,,secondary,8.559,True
